FECHA,FECHA_CORTE,ETC,COD_DANE_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,COD_DANE_MUNICIPIO,NOMBRE_MUNICIPIO,"INDICADOR 1.
EDUCACIÓN INICIAL ICBF
(Incluye Mujeres Gestantes)","INDICADOR 2.
NIÑOS Y NIÑAS EN PREESCOLAR CON EDUCACIÓN INICIAL","INDICADOR 3.
TOTAL EDUCACIÓN INICIAL
ICBF + MEN",INDICADOR 4. CONCURRENCIA DE ATENCIONES
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91263,El Encanto,113,0,113,2.1%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91405,La Chorrera,60,0,60,3.3%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91407,La Pedrera,43,0,43,2.3%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91430,La Victoria,0,0,0,0.0%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91001,Leticia,3617,0,3617,30.0%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91460,Mirití - Paraná,37,0,37,7.4%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91530,Puerto Alegría,40,0,40,6.3%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91536,Puerto Arica,45,0,45,2.7%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91540,Puerto Nariño,722,0,722,22.5%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91669,Puerto Santander,51,0,51,2.4%
31-12-2015,31-12-2015,Amazonas,91,Amazonas,91798,Tarapacá,211,0,211,22.2%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05002,Abejorral,757,0,757,55.1%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05004,Abriaquí,76,0,76,41.3%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05021,Alejandría,417,0,417,48.5%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05030,Amagá,550,0,550,48.3%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05031,Amalfi,657,0,657,50.2%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05034,Andes,1043,0,1043,69.6%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05036,Angelópolis,241,0,241,39.7%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05038,Angostura,219,0,219,45.5%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05040,Anorí,639,0,639,74.2%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05044,Anzá,241,0,241,59.7%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05051,Arboletes,1334,0,1334,55.3%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05055,Argelia,325,0,325,62.0%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05059,Armenia,54,0,54,29.3%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05079,Barbosa,597,0,597,89.1%
31-12-2015,31-12-2015,Antioquia,05,Antioquia,05086,Belmira,163,0,163,57.3%
