Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,codmpio
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,15,664.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,314,,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,36,51.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,61,,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,1109,506.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,532,,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,115,135.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,136,,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,54,56.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,76,,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,149,123.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,153,,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,63,0.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,94,197.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,143,,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,31,15.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,17,,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,24,0.0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,15,,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,63,239.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,148,,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,79.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,70,,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,112,0.0,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,62,50.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,77,,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,49,0.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,78,,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,61,47.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,45,,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,82.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,90,,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,115,118.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,123,,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,395,94.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,,68
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,24,0.0,70
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,100.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,988,241.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,685,,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,34,49.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,56,,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,23,0.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,15,30.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,18,,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,4,0.0,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,5,0.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,303,270.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,7,9.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,56,60.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,243,0.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,510,0.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,46,12.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,125,11.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,17,20.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,90,59.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,40,37.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,140,46.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,30,5.0,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,SR,18.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,20,29.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,143,176.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,11,17.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,14,6.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,8,0.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,12,6.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,37,81.0,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,24,21.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,60,15.0,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,23,5.0,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,15,10.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,71,1.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,19,0.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,137,0.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,18,35.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,50,58.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,18,50.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,98,158.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,28,24.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,110,89.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,115,0.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,248,189.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,14,0.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,127,0.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,319,559.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,549,695.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,6,0.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,53,0.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,6,1.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,2,1.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,11,0.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,1,0.0,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,16,212.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,334,1101.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,18,55.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,56,140.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,632,472.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,418,518.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,95,82.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,121,138.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,41,75.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,77,193.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,113,130.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,148,256.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,180,83.0,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,44.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,58,151.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,143,246.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,91.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,20,31.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,17,19.0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,5.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,180.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,71,400.0,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,104,96.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,94,99.0,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,34,30.0,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,48,53.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,78,117.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,49,41.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,64,128.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,77,79.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,62,66.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,99.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,76,209.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,64,160.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,114,231.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,332,24.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,97,445.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,46,122.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,94,175.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,991,1199.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,619,1076.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,23,37.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,53,27.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,19,1.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,8,3.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,13,20.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,2,1.0,95
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,1.0,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,8.0,47
PUTUMAYO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,4.0,86
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,12.0,70
VAUPES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,SR,2.0,97
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,57,391.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,649,487.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,60,7.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,56,62.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,505,512.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,316,675.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,117,0.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,108,91.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,20,49.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,87,117.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,122,17.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,152,76.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,42,38.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,49,26.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,142,257.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,26,5.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2018,20,28.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2018,42,1.0,23
