codmpio,Departamento,2015,2016,2017,2018,2019,2020,2021,2022,2023
5.0,ANTIOQUIA,8.0,18.0,17.0,10.0,10.0,26.0,34.0,8.0,12.0
8.0,ATLANTICO,62.0,65.0,52.0,109.0,84.0,97.0,89.0,108.0,28.0
11.0,BOGOTA,16.0,42.0,15.0,47.0,33.0,22.0,31.0,23.0,11.0
13.0,BOLIVAR,23.0,93.0,71.0,123.0,87.0,95.0,138.0,78.0,16.0
15.0,BOYACA,5.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0
17.0,CALDAS,14.0,35.0,18.0,10.0,3.0,5.0,7.0,7.0,2.0
18.0,CAQUETA,19.0,13.0,12.0,17.0,10.0,11.0,5.0,3.0,5.0
19.0,CAUCA,5.0,5.0,3.0,3.0,10.0,2.0,0.0,0.0,4.0
20.0,CESAR,231.0,236.0,236.0,270.0,285.0,459.0,383.0,322.0,322.0
23.0,CORDOBA,642.0,500.0,496.0,546.0,403.0,166.0,409.0,247.0,180.0
25.0,CUNDINAMARCA,10.0,9.0,23.0,19.0,6.0,7.0,5.0,7.0,3.0
27.0,CHOCO,1.0,0.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0
41.0,HUILA,8.0,6.0,4.0,1.0,11.0,2.0,2.0,5.0,1.0
44.0,GUAJIRA,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0
47.0,MAGDALENA,2.0,5.0,4.0,16.0,12.0,1.0,5.0,5.0,2.0
50.0,META,3.0,5.0,12.0,2.0,4.0,3.0,10.0,0.0,4.0
52.0,NARIÑO,36.0,27.0,6.0,11.0,3.0,3.0,6.0,2.0,0.0
54.0,NORTE DE SANTANDER,178.0,123.0,73.0,111.0,54.0,24.0,45.0,19.0,5.0
63.0,QUINDIO,2.0,13.0,5.0,15.0,1.0,3.0,1.0,2.0,0.0
66.0,RISARALDA,6.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0
68.0,SANTANDER,2.0,0.0,1.0,0.0,11.0,3.0,3.0,2.0,1.0
70.0,SUCRE,2.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
73.0,TOLIMA,6.0,22.0,21.0,18.0,17.0,17.0,14.0,5.0,3.0
76.0,VALLE,14.0,15.0,17.0,33.0,13.0,32.0,45.0,23.0,16.0
81.0,ARAUCA,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0
85.0,CASANARE,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
86.0,PUTUMAYO,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
91.0,AMAZONAS,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
94.0,GUAINIA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95.0,GUAVIARE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,VAUPES,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
99.0,VICHADA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
