codmpio,2015,2016,2017,2018,2019,2020,2021,2022,2023
5.0,1624.0,2565.0,2779.0,2061.0,1901.0,2984.0,4073.0,3630.0,3442.0
8.0,1656.0,1892.0,2074.0,1832.0,1985.0,1929.0,2410.0,2642.0,2413.0
11.0,6960.0,9086.0,8594.0,10355.0,9718.0,8063.0,11874.0,14029.0,12475.0
13.0,938.0,1622.0,1340.0,1618.0,1168.0,1384.0,1746.0,1322.0,1416.0
15.0,666.0,927.0,1038.0,910.0,830.0,719.0,928.0,1055.0,924.0
17.0,1596.0,1604.0,1560.0,1540.0,1321.0,1709.0,2127.0,1922.0,1604.0
18.0,556.0,554.0,607.0,644.0,440.0,477.0,650.0,462.0,445.0
19.0,1183.0,1222.0,885.0,921.0,587.0,827.0,1199.0,1056.0,1003.0
20.0,1241.0,1047.0,1067.0,1330.0,1405.0,1509.0,1810.0,1662.0,1913.0
23.0,1826.0,2273.0,2317.0,2008.0,1248.0,941.0,1815.0,1392.0,1345.0
25.0,1816.0,2591.0,2947.0,2354.0,1776.0,1878.0,2516.0,2850.0,2498.0
27.0,227.0,255.0,301.0,256.0,346.0,234.0,345.0,376.0,398.0
41.0,704.0,949.0,1303.0,1164.0,1099.0,952.0,979.0,1020.0,920.0
44.0,907.0,617.0,886.0,669.0,531.0,475.0,632.0,635.0,591.0
47.0,1189.0,1529.0,1683.0,1630.0,1591.0,1320.0,1816.0,1581.0,1621.0
50.0,1093.0,1246.0,1266.0,1348.0,765.0,1071.0,1530.0,1171.0,1156.0
52.0,1948.0,2846.0,2447.0,2098.0,1626.0,1648.0,2344.0,2403.0,2414.0
54.0,818.0,840.0,852.0,901.0,929.0,747.0,1003.0,1096.0,1008.0
63.0,595.0,636.0,706.0,985.0,1081.0,789.0,942.0,870.0,852.0
66.0,1068.0,1135.0,910.0,901.0,720.0,812.0,990.0,856.0,856.0
68.0,786.0,891.0,944.0,1014.0,996.0,1365.0,1972.0,1657.0,1579.0
70.0,718.0,738.0,644.0,718.0,549.0,412.0,501.0,431.0,376.0
73.0,982.0,1293.0,1143.0,1122.0,1129.0,1223.0,1832.0,1550.0,1509.0
76.0,5043.0,6573.0,6266.0,6268.0,4829.0,5157.0,7103.0,7162.0,6829.0
81.0,123.0,139.0,194.0,180.0,115.0,202.0,415.0,381.0,361.0
85.0,415.0,499.0,470.0,315.0,242.0,312.0,530.0,497.0,479.0
86.0,302.0,345.0,374.0,337.0,518.0,435.0,508.0,480.0,454.0
88.0,16.0,32.0,44.0,23.0,18.0,18.0,88.0,76.0,78.0
91.0,185.0,160.0,330.0,187.0,129.0,98.0,207.0,156.0,185.0
94.0,53.0,90.0,115.0,68.0,69.0,61.0,79.0,90.0,86.0
95.0,118.0,92.0,139.0,132.0,185.0,121.0,126.0,138.0,185.0
97.0,10.0,33.0,9.0,42.0,48.0,39.0,64.0,67.0,69.0
99.0,86.0,109.0,107.0,54.0,68.0,76.0,99.0,158.0,144.0
