codmpio,VIGENCIA,BENEFICIARIOS
5,2015,1532.0
5,2016,1559.0
5,2017,844.0
5,2018,1590.0
5,2019,884.0
5,2020,831.0
5,2021,760.0
5,2022,694.0
5,2023,617.0
8,2015,330.0
8,2016,246.0
8,2017,176.0
8,2018,208.0
8,2019,169.0
8,2020,187.0
8,2021,174.0
8,2022,199.0
8,2023,173.0
11,2015,3219.0
11,2016,1926.0
11,2017,1872.0
11,2018,1612.0
11,2019,1460.0
11,2020,1071.0
11,2021,812.0
11,2022,925.0
11,2023,823.0
13,2015,387.0
13,2016,284.0
13,2017,321.0
13,2018,320.0
13,2019,261.0
13,2020,314.0
13,2021,207.0
13,2022,233.0
13,2023,169.0
15,2015,221.0
15,2016,223.0
15,2017,170.0
15,2018,155.0
15,2019,136.0
15,2020,184.0
15,2021,82.0
15,2022,97.0
15,2023,103.0
17,2015,875.0
17,2016,589.0
17,2017,401.0
17,2018,395.0
17,2019,327.0
17,2020,280.0
17,2021,178.0
17,2022,204.0
17,2023,172.0
18,2015,94.0
18,2016,61.0
18,2017,235.0
18,2018,87.0
18,2019,79.0
18,2020,82.0
18,2021,44.0
18,2022,49.0
18,2023,82.0
19,2015,631.0
19,2016,438.0
19,2017,380.0
19,2018,313.0
19,2019,324.0
19,2020,249.0
19,2021,194.0
19,2022,176.0
19,2023,192.0
20,2015,134.0
20,2016,77.0
20,2017,118.0
20,2018,95.0
20,2019,110.0
20,2020,119.0
20,2021,129.0
20,2022,130.0
20,2023,96.0
23,2015,91.0
23,2016,60.0
23,2017,17.0
23,2018,42.0
23,2019,118.0
23,2020,119.0
23,2021,138.0
23,2022,96.0
23,2023,81.0
25,2015,438.0
25,2016,249.0
25,2017,252.0
25,2018,272.0
25,2019,303.0
25,2020,321.0
25,2021,291.0
25,2022,333.0
25,2023,314.0
27,2015,45.0
27,2016,28.0
27,2017,20.0
27,2018,64.0
27,2019,59.0
27,2020,84.0
27,2021,57.0
27,2022,73.0
27,2023,213.0
41,2015,336.0
41,2016,210.0
41,2017,329.0
41,2018,297.0
41,2019,222.0
41,2020,197.0
41,2021,176.0
41,2022,203.0
41,2023,226.0
44,2015,161.0
44,2016,41.0
44,2017,55.0
44,2018,35.0
44,2019,32.0
44,2020,70.0
44,2021,102.0
44,2022,72.0
44,2023,60.0
47,2015,73.0
47,2016,68.0
47,2017,40.0
47,2018,40.0
47,2019,36.0
47,2020,47.0
47,2021,62.0
47,2022,73.0
47,2023,84.0
50,2015,273.0
50,2016,164.0
50,2017,215.0
50,2018,202.0
50,2019,199.0
50,2020,202.0
50,2021,183.0
50,2022,209.0
50,2023,175.0
52,2015,322.0
52,2016,318.0
52,2017,188.0
52,2018,169.0
52,2019,104.0
52,2020,126.0
52,2021,108.0
52,2022,143.0
52,2023,123.0
54,2015,230.0
54,2016,166.0
54,2017,233.0
54,2018,229.0
54,2019,301.0
54,2020,309.0
54,2021,303.0
54,2022,347.0
54,2023,241.0
63,2015,509.0
63,2016,319.0
63,2017,219.0
63,2018,201.0
63,2019,193.0
63,2020,193.0
63,2021,187.0
63,2022,208.0
63,2023,152.0
66,2015,555.0
66,2016,383.0
66,2017,405.0
66,2018,398.0
66,2019,401.0
66,2020,342.0
66,2021,248.0
66,2022,254.0
66,2023,158.0
68,2015,761.0
68,2016,598.0
68,2017,602.0
68,2018,828.0
68,2019,595.0
68,2020,595.0
68,2021,542.0
68,2022,678.0
68,2023,650.0
70,2015,64.0
70,2016,40.0
70,2017,0.0
70,2018,25.0
70,2019,25.0
70,2020,22.0
70,2021,95.0
70,2022,62.0
70,2023,23.0
73,2015,590.0
73,2016,391.0
73,2017,305.0
73,2018,273.0
73,2019,278.0
73,2020,265.0
73,2021,166.0
73,2022,200.0
73,2023,271.0
76,2015,2383.0
76,2016,1519.0
76,2017,2207.0
76,2018,2847.0
76,2019,1802.0
76,2020,1455.0
76,2021,1404.0
76,2022,1235.0
76,2023,1164.0
81,2015,32.0
81,2016,29.0
81,2017,20.0
81,2018,7.0
81,2019,12.0
81,2020,7.0
81,2021,7.0
81,2022,7.0
85,2015,147.0
85,2016,102.0
85,2017,104.0
85,2018,72.0
85,2019,97.0
85,2020,127.0
85,2021,70.0
85,2022,56.0
85,2023,48.0
86,2015,31.0
86,2016,74.0
86,2017,15.0
86,2018,8.0
86,2019,8.0
86,2022,15.0
86,2023,23.0
88,2015,75.0
88,2016,40.0
88,2017,41.0
88,2018,29.0
88,2019,27.0
88,2020,51.0
88,2021,22.0
88,2022,17.0
88,2023,10.0
91,2015,43.0
91,2016,24.0
91,2017,32.0
91,2018,30.0
91,2019,20.0
91,2020,59.0
91,2021,39.0
91,2022,45.0
91,2023,49.0
94,2015,1.0
94,2016,2.0
94,2017,0.0
94,2018,2.0
94,2019,0.0
95,2015,30.0
95,2016,7.0
95,2017,9.0
95,2018,10.0
95,2019,8.0
95,2020,49.0
95,2023,10.0
