anno,codmpio,procesos
2015,5.0,1622
2015,8.0,1654
2015,11.0,6927
2015,13.0,938
2015,15.0,666
2015,17.0,1595
2015,18.0,556
2015,19.0,1179
2015,20.0,1241
2015,23.0,1823
2015,25.0,1816
2015,27.0,227
2015,41.0,704
2015,44.0,907
2015,47.0,1188
2015,50.0,1093
2015,52.0,1947
2015,54.0,818
2015,63.0,595
2015,66.0,1067
2015,68.0,786
2015,70.0,718
2015,73.0,982
2015,76.0,5039
2015,81.0,123
2015,85.0,415
2015,86.0,302
2015,88.0,16
2015,91.0,185
2015,94.0,53
2015,95.0,118
2015,97.0,10
2015,99.0,86
2016,5.0,2565
2016,8.0,1892
2016,11.0,9066
2016,13.0,1622
2016,15.0,927
2016,17.0,1604
2016,18.0,554
2016,19.0,1222
2016,20.0,1047
2016,23.0,2273
2016,25.0,2591
2016,27.0,255
2016,41.0,949
2016,44.0,617
2016,47.0,1529
2016,50.0,1246
2016,52.0,2846
2016,54.0,840
2016,63.0,636
2016,66.0,1135
2016,68.0,891
2016,70.0,738
2016,73.0,1293
2016,76.0,6562
2016,81.0,139
2016,85.0,499
2016,86.0,345
2016,88.0,32
2016,91.0,160
2016,94.0,90
2016,95.0,92
2016,97.0,33
2016,99.0,109
2017,5.0,2778
2017,8.0,2074
2017,11.0,8582
2017,13.0,1340
2017,15.0,1038
2017,17.0,1560
2017,18.0,607
2017,19.0,885
2017,20.0,1067
2017,23.0,2317
2017,25.0,2947
2017,27.0,301
2017,41.0,1303
2017,44.0,886
2017,47.0,1683
2017,50.0,1266
2017,52.0,2447
2017,54.0,852
2017,63.0,706
2017,66.0,910
2017,68.0,944
2017,70.0,644
2017,73.0,1143
2017,76.0,6266
2017,81.0,194
2017,85.0,470
2017,86.0,374
2017,88.0,44
2017,91.0,330
2017,94.0,115
2017,95.0,139
2017,97.0,9
2017,99.0,107
2018,5.0,2061
2018,8.0,1832
2018,11.0,10321
2018,13.0,1618
2018,15.0,910
2018,17.0,1540
2018,18.0,644
2018,19.0,921
2018,20.0,1330
2018,23.0,2008
2018,25.0,2354
2018,27.0,256
2018,41.0,1164
2018,44.0,669
2018,47.0,1630
2018,50.0,1348
2018,52.0,2098
2018,54.0,901
2018,63.0,985
2018,66.0,901
2018,68.0,1014
2018,70.0,718
2018,73.0,1122
2018,76.0,6268
2018,81.0,180
2018,85.0,315
2018,86.0,337
2018,88.0,23
2018,91.0,187
2018,94.0,68
2018,95.0,132
2018,97.0,42
2018,99.0,54
2019,5.0,1900
2019,8.0,1985
2019,11.0,9698
2019,13.0,1168
2019,15.0,830
2019,17.0,1321
2019,18.0,440
2019,19.0,587
2019,20.0,1405
2019,23.0,1248
2019,25.0,1776
2019,27.0,346
2019,41.0,1099
2019,44.0,531
2019,47.0,1591
2019,50.0,765
2019,52.0,1626
2019,54.0,929
2019,63.0,1081
2019,66.0,720
2019,68.0,996
2019,70.0,549
2019,73.0,1129
2019,76.0,4829
2019,81.0,115
2019,85.0,242
2019,86.0,518
2019,88.0,18
2019,91.0,129
2019,94.0,69
2019,95.0,185
2019,97.0,48
2019,99.0,68
2020,5.0,2984
2020,8.0,1929
2020,11.0,8054
2020,13.0,1384
2020,15.0,719
2020,17.0,1709
2020,18.0,477
2020,19.0,827
2020,20.0,1509
2020,23.0,941
2020,25.0,1878
2020,27.0,234
2020,41.0,952
2020,44.0,475
2020,47.0,1320
2020,50.0,1071
2020,52.0,1648
2020,54.0,747
2020,63.0,789
2020,66.0,812
2020,68.0,1365
2020,70.0,412
2020,73.0,1223
2020,76.0,5157
2020,81.0,202
2020,85.0,312
2020,86.0,435
2020,88.0,18
2020,91.0,98
2020,94.0,61
2020,95.0,121
2020,97.0,39
2020,99.0,76
2021,5.0,4073
2021,8.0,2410
2021,11.0,11867
2021,13.0,1746
2021,15.0,928
2021,17.0,2127
2021,18.0,650
2021,19.0,1199
2021,20.0,1810
2021,23.0,1815
2021,25.0,2516
2021,27.0,345
2021,41.0,979
2021,44.0,632
2021,47.0,1816
2021,50.0,1530
2021,52.0,2344
2021,54.0,1003
2021,63.0,942
2021,66.0,990
2021,68.0,1972
2021,70.0,501
2021,73.0,1832
2021,76.0,7103
2021,81.0,415
2021,85.0,530
2021,86.0,508
2021,88.0,88
2021,91.0,207
2021,94.0,79
2021,95.0,126
2021,97.0,64
2021,99.0,99
2022,5.0,3630
2022,8.0,2642
2022,11.0,14008
2022,13.0,1322
2022,15.0,1055
2022,17.0,1922
2022,18.0,462
2022,19.0,1056
2022,20.0,1662
2022,23.0,1392
2022,25.0,2850
2022,27.0,376
2022,41.0,1020
