Departamento,MODALIDAD DE SERVICIO,VIGENCIA,BENEFICIARIOS,codmpio
ANTIOQUIA,INTERNAMIENTO PREVENTIVO,2015,15,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,314,5
ATLANTICO,INTERNAMIENTO PREVENTIVO,2015,36,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,61,8
BOGOTA,INTERNAMIENTO PREVENTIVO,2015,1109,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,532,11
BOLIVAR,INTERNAMIENTO PREVENTIVO,2015,115,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,136,13
BOYACA,INTERNAMIENTO PREVENTIVO,2015,54,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,76,15
CALDAS,INTERNAMIENTO PREVENTIVO,2015,149,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,153,17
CAQUETA,INTERNAMIENTO PREVENTIVO,2015,63,18
CAUCA,INTERNAMIENTO PREVENTIVO,2015,94,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,143,19
CESAR,INTERNAMIENTO PREVENTIVO,2015,31,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,17,20
CORDOBA,INTERNAMIENTO PREVENTIVO,2015,24,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,15,23
CUNDINAMARCA,INTERNAMIENTO PREVENTIVO,2015,63,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,148,25
HUILA,INTERNAMIENTO PREVENTIVO,2015,88,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,70,41
GUAJIRA,INTERNAMIENTO PREVENTIVO,2015,112,44
GUAJIRA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,                  - ,44
META,INTERNAMIENTO PREVENTIVO,2015,62,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,77,50
NARIÑO,INTERNAMIENTO PREVENTIVO,2015,49,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,78,52
NORTE DE SANTANDER,INTERNAMIENTO PREVENTIVO,2015,61,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,45,54
QUINDIO,INTERNAMIENTO PREVENTIVO,2015,88,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,90,63
RISARALDA,INTERNAMIENTO PREVENTIVO,2015,115,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,123,66
SANTANDER,INTERNAMIENTO PREVENTIVO,2015,395,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,68
SUCRE,INTERNAMIENTO PREVENTIVO,2015,24,70
TOLIMA,INTERNAMIENTO PREVENTIVO,2015,88,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,73
VALLE,INTERNAMIENTO PREVENTIVO,2015,988,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,685,76
CASANARE,INTERNAMIENTO PREVENTIVO,2015,34,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,56,85
SAN ANDRES,INTERNAMIENTO PREVENTIVO,2015,23,88
AMAZONAS,INTERNAMIENTO PREVENTIVO,2015,15,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,18,91
GUAVIARE,INTERNAMIENTO PREVENTIVO,2015,4,95
GUAVIARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,                  - ,95
ANTIOQUIA,INTERNAMIENTO PREVENTIVO,2016,5,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADA,2016,303,5
ATLANTICO,INTERNAMIENTO PREVENTIVO,2016,7,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADA,2016,56,8
BOGOTA,INTERNAMIENTO PREVENTIVO,2016,243,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADA,2016,510,11
BOLIVAR,INTERNAMIENTO PREVENTIVO,2016,46,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADA,2016,125,13
BOYACA,INTERNAMIENTO PREVENTIVO,2016,17,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADA,2016,90,15
CALDAS,INTERNAMIENTO PREVENTIVO,2016,40,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADA,2016,140,17
CAQUETA,INTERNAMIENTO PREVENTIVO,2016,30,18
CAUCA,INTERNAMIENTO PREVENTIVO,2016,20,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADA,2016,143,19
CESAR,INTERNAMIENTO PREVENTIVO,2016,11,20
CESAR,CENTRO DE ATENCION ESPECIALIZADA,2016,14,20
CORDOBA,INTERNAMIENTO PREVENTIVO,2016,8,23
CUNDINAMARCA,INTERNAMIENTO PREVENTIVO,2016,12,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADA,2016,37,25
HUILA,INTERNAMIENTO PREVENTIVO,2016,24,41
HUILA,CENTRO DE ATENCION ESPECIALIZADA,2016,60,41
GUAJIRA,INTERNAMIENTO PREVENTIVO,2016,23,44
META,INTERNAMIENTO PREVENTIVO,2016,15,50
META,CENTRO DE ATENCION ESPECIALIZADA,2016,71,50
NARIÑO,INTERNAMIENTO PREVENTIVO,2016,19,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADA,2016,137,52
NORTE DE SANTANDER,INTERNAMIENTO PREVENTIVO,2016,18,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADA,2016,50,54
QUINDIO,INTERNAMIENTO PREVENTIVO,2016,18,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADA,2016,98,63
RISARALDA,INTERNAMIENTO PREVENTIVO,2016,28,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADA,2016,110,66
SANTANDER,INTERNAMIENTO PREVENTIVO,2016,115,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADA,2016,248,68
SUCRE,INTERNAMIENTO PREVENTIVO,2016,                  - ,70
TOLIMA,INTERNAMIENTO PREVENTIVO,2016,14,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADA,2016,127,73
VALLE,INTERNAMIENTO PREVENTIVO,2016,319,76
VALLE,CENTRO DE ATENCION ESPECIALIZADA,2016,549,76
CASANARE,INTERNAMIENTO PREVENTIVO,2016,6,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADA,2016,53,85
SAN ANDRES,INTERNAMIENTO PREVENTIVO,2016,6,88
AMAZONAS,INTERNAMIENTO PREVENTIVO,2016,2,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADA,2016,11,91
GUAVIARE,INTERNAMIENTO PREVENTIVO,2016,1,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,16,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,334,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,18,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,56,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,632,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,418,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,95,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,121,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,41,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,77,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,113,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,148,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,180,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,58,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADO,2017,143,19
