Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,Porcentaje de vinculación,codmpio
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,15,664.0,201.82,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,314,,,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,36,51.0,52.58,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,61,,,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,1109,506.0,30.83,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,532,,,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,115,135.0,53.78,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,136,,,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,54,56.0,43.08,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,76,,,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,149,123.0,40.73,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,153,,,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,63,0.0,0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,94,197.0,83.12,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,143,,,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,31,15.0,31.25,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,17,,,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,24,0.0,0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,15,,,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,63,239.0,113.27,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,148,,,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,79.0,50,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,70,,,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,112,0.0,0,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,62,50.0,35.97,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,77,,,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,49,0.0,0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,78,,,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,61,47.0,44.34,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,45,,,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,82.0,46.07,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,90,,,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,115,118.0,49.58,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,123,,,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,395,94.0,17.77,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,,,68
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,24,0.0,0,70
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,88,100.0,45.05,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,134,,,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,988,241.0,14.41,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,685,,,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,34,49.0,54.44,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,56,,,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,23,0.0,0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,15,30.0,90.91,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2015,18,,,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2015,4,0.0,0,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,5,0.0,0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,303,270.0,89.11,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,7,9.0,128.57,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,56,60.0,107.14,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,243,0.0,0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,510,0.0,0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,46,12.0,26.09,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,125,11.0,8.8,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,17,20.0,117.65,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,90,59.0,65.56,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,40,37.0,92.5,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,140,46.0,32.86,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,30,5.0,16.67,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,SR,18.0,SR,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,20,29.0,145,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,143,176.0,123.08,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,11,17.0,154.55,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,14,6.0,42.86,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,8,0.0,0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,12,6.0,50,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,37,81.0,218.92,25
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,24,21.0,87.5,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,60,15.0,25,41
GUAJIRA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,23,5.0,21.74,44
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,15,10.0,66.67,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,71,1.0,1.41,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,19,0.0,0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,137,0.0,0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,18,35.0,194.44,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,50,58.0,116,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,18,50.0,277.78,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,98,158.0,161.22,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,28,24.0,85.71,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,110,89.0,80.91,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,115,0.0,0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,248,189.0,76.21,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,14,0.0,0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,127,0.0,0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,319,559.0,175.24,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,549,695.0,126.59,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,6,0.0,0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,53,0.0,0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,6,1.0,16.67,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,2,1.0,50,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2016,11,0.0,0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2016,1,0.0,0,95
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,16,212.0,1325,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,334,1101.0,329.64,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,18,55.0,305.56,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,56,140.0,250,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,632,472.0,74.68,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,418,518.0,123.92,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,95,82.0,86.32,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,121,138.0,114.05,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,41,75.0,182.93,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,77,193.0,250.65,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,113,130.0,115.04,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,148,256.0,172.97,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,180,83.0,46.11,18
CAQUETA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,44.0,SR,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,58,151.0,260.34,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,143,246.0,172.03,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,91.0,239.47,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,20,31.0,155,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,17,19.0,111.76,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2017,SR,5.0,SR,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2017,38,180.0,473.68,25
